Episode,Length,City,State
A Quadruple Murder,63,Sarah,Mississippi
A Kidnapping and Murder Part 1,59,Raynham,Massachusetts
A Kidnapping and Murder Part 2,60,Raynham,Massachusetts
Three Charred Bodies,62,Manistique,Michigan
A Murder For Greed,58,Eaton,Ohio
The Best and Brightest Murdered,63,Hawkins,Texas
"A Young, Budding Serial Killer",60,St. Johns,Arizona
A Trail of Ashes and Bodies,61,Otisco,New York
Jealousy Turns Into Multiple Murders,66,Burlingame,Kansas
A British Tourist Murdered,64,Monticello,Florida
Murder and Worse Part 1,62,South Lake Tahoe,California
Murder and Worse Part 2,69,South Lake Tahoe,California
Murder Bubbling Under the Surface,67,Old Orchard Beach,Maine
"One Drifter, Two Murders",62,Ovando,Montana
An Heiress and A Brutal Murder,69,Warrenton,Virginia
A House of Horrors,63,Lino Lakes,Minnesota
A Triple Murdering Con Man,69,Golden,Colorado
"Two Deaths, One Unexpected Murderer",64,Eldorado,Illinois
"Jealousy, Meth, Icepicks and Murder",67,Tonasket,Washington
A Sinister and Murderous Plot,62,Anniston,Alabama
A Deadly Massacure,69,Chimayo,New Mexico
A Nasty Pair of Murders,69,Ocean Grove,New Jersey
"Bad Decisions, Deadly Results",66,Eufaula,Oklahoma
"Two Murders, Two Murderers",72,Maynardville,Tennessee
"Family Problems, Killer Solutions",78,East Lyme,Connecticut
A Messy Murder Plot,72,Kendrick,Idaho
A Grinch of a Killer ,88,Santa Claus,Georgia
A Killer So Clumsy,76,Kensett,Arkansas
Broken Bones and Brutal Murder,74,Baraboo,Wisconsin
A Basement Dwelling Predator,87,Collegeville,Pennsylvania
Death Threats Lead to Murder,84,Marydel,Maryland
Dr. Frankenstein Has Lost Control,105,LaPorte,Indiana
The Man With Two Last Meals,81,Iowa,Louisiana
A Deviously Hypocritical Killer,107,Wolsey,South Dakota
The Recipe for a Butcher,105,Fleming-Neon,Kentucky
The Orbit of a Killer,106,Epping,New Hampshire
Six Unthinkable Things,109,Norwalk,Iowa
Remorseless Horrors,113,Washington Terrace,Utah
Kitchen Table Murder,118,Burke,Vermont
The Definition of Depravity,122,Scottsbluff,Nebraska
A Morning Time Slaughter,123,Kenton,Delaware
The Hottest Cold Case Around,126,Sitka,Alaska
"Double Murder, Double Confession",133,Gatesville,North Carolina
"Anger, Obsession, Revenge",138,Sun Valley,Nevada
"Head, But No Shoulders",137,Cooerstown,North Dakota
Guilt Written in Blood,98,Canton,Missouri
An Unexpected Slaughter,136,Easley,South Carolina
A Murderous Pact Unravels,128,Newport,Oregon
"Meth, Marriage, and Murder",131,Webster Springs,West Virginia
Tragedy at the Trailer Park,132,Wheatland,Wyoming
The Neighborhood Cannibal,139,South Kingstown,Rhode Island
An Especially Ruthless Killer,138,Haiku,Hawaii
Four Murders and a Getaway,144,Amherst,Virginia
Serial Killer Doesn't Even Describe it,118,Northampton,Massachusetts
A Picturesque Murder House,149,Raymond,Washington
A Triangle of Tragedy,152,Phillips,Oklahoma
The Mannequin Murders,147,Elkridge,Maryland
When Stupid People Kill,146,Three Points,Arizona
Team Murder Lunch,144,Edgewood,Kentucky
"Dark Past, Scarier Present",156,Mineral Point,Wisconsin
"Maybe a Serial Killer, Maybe a liar",154,Sunbury,Pennsylvania
A Deadly Scam,149,Mooersville,Missouri
A Very Beloved and Dead Couple,109,Bellevue,Idaho
Too Many Dead Husbands,159,Gun Barrel City,Texas
Loneliness is Better Than Murder,160,Waynesville,Ohio
Three Murders and a Strangling,159,Canyon Lake,California
An Extra Terrible Person,152,Kittery,Maine
Plans of Torture,161,Canisota,South Dakota
I Think I'll Read it Again,155,Irvington,Alabama
The Imperfect Storm,167,Rulo,Nebraska
Not Much of a Plan,129,Warren,Rhode Island
Don't Wear Overalls to Court,150,Cincinnati,Arkansas
Tortured to Elvis,146,Gretna,Louisiana
A Blaze of Glory,165,Redding,Connecticut
Maybe Satan Did it,165,Dayton,Nevada
"Sex, Lies, and Duct Tape",167,Villa Park,Illinois
Begging for Death,147,James Island,South Carolina
"Sick, Twisted, and Extra Stupid",151,Flora Vista,New Mexico
Affairs and Stabbing of the Heart,153,Essex,Vermont
Sadistic Isn't Sexually Transmitted,154,Red Wing,Minnesota
"Lust, Unexplained Wounds, and Weak Excuses",152,Gainesboro,Tennessee
The Problem Here Is,156,Stanford,Montana
A Bloody Mess,156,Nitro,West Virginia
A Chance Encounter,140,Webster Township,Michigan
Pollinations and Decapitations,152,Cave Junction,Oregon
A Closet Full of Murder,165,Brentwood,Tennessee
A Progression of Awful Things,145,Kiowa,Colorado
The Couple That Kills Together Blames Each Other,165,Williamson,Arizona
"Perverted, Depraved, and Mom Approved",139,Middle Township,New Jersey
Going for his Murder Badge,151,Petal,Mississippi
"Yes, No, I Don't Know",148,Oskaloosa,Kansas
